Statistik,Gebiet,Geschlecht,Jahr,Alter,Kalenderwoche,Sterbefaelle,Qualitaetskennzeichen
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,30-34,3,112,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,35-39,3,167,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,40-44,3,222,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,45-49,3,360,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,50-54,3,457,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,55-59,3,772,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,60-64,3,1259,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,65-69,3,1596,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,70-74,3,2144,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,75-79,3,2965,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,80-84,3,2409,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,85-89,3,3598,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,90-94,3,2176,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,95+,3,650,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,Insgesamt,4,19715,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,0-29,4,248,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,30-34,4,103,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,35-39,4,154,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,40-44,4,274,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,45-49,4,318,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,50-54,4,463,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,55-59,4,850,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,60-64,4,1376,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,65-69,4,1596,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,70-74,4,2296,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,75-79,4,2975,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,80-84,4,2446,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,85-89,4,3723,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,90-94,4,2242,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,95+,4,651,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,Insgesamt,5,20390,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,0-29,5,282,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,30-34,5,102,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,35-39,5,167,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,40-44,5,275,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,45-49,5,354,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,50-54,5,461,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,55-59,5,872,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,60-64,5,1308,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,65-69,5,1581,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,70-74,5,2218,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,75-79,5,3183,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,80-84,5,2575,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,85-89,5,3879,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,90-94,5,2384,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,95+,5,749,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,Insgesamt,6,19229,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,0-29,6,273,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,30-34,6,90,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,35-39,6,134,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,40-44,6,254,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,45-49,6,331,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,50-54,6,464,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,55-59,6,805,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,60-64,6,1235,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,65-69,6,1596,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,70-74,6,2171,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,75-79,6,2841,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,80-84,6,2397,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,85-89,6,3779,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,90-94,6,2232,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,95+,6,627,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,Insgesamt,7,18146,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,0-29,7,251,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,30-34,7,95,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,35-39,7,138,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,40-44,7,243,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,45-49,7,321,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,50-54,7,427,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,55-59,7,828,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,60-64,7,1241,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,65-69,7,1403,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,70-74,7,2152,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,75-79,7,2687,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,80-84,7,2331,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,85-89,7,3428,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,90-94,7,2026,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,95+,7,575,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,Insgesamt,8,17432,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,0-29,8,252,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,30-34,8,93,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,35-39,8,160,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,40-44,8,204,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,45-49,8,352,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,50-54,8,423,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,55-59,8,712,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,60-64,8,1187,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,65-69,8,1441,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,70-74,8,1976,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,75-79,8,2668,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,80-84,8,2165,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,85-89,8,3340,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,90-94,8,1878,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,95+,8,581,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,Insgesamt,9,17221,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,0-29,9,241,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,30-34,9,88,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,35-39,9,148,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,40-44,9,225,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,45-49,9,339,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,50-54,9,449,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,55-59,9,755,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,60-64,9,1194,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,65-69,9,1451,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,70-74,9,2076,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,75-79,9,2565,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,80-84,9,2090,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,85-89,9,3213,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,90-94,9,1839,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,95+,9,548,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,Insgesamt,10,16908,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,0-29,10,264,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,30-34,10,83,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,35-39,10,167,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,40-44,10,212,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,45-49,10,334,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,50-54,10,465,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,55-59,10,721,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,60-64,10,1218,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,65-69,10,1418,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,70-74,10,1958,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,75-79,10,2583,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,80-84,10,2023,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,85-89,10,3211,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,90-94,10,1723,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,95+,10,528,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,Insgesamt,11,16227,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,0-29,11,243,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,30-34,11,87,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,35-39,11,124,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,40-44,11,203,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,45-49,11,319,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,50-54,11,401,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,55-59,11,720,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,60-64,11,1138,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,65-69,11,1387,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,70-74,11,1840,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,75-79,11,2456,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,80-84,11,1978,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,85-89,11,3037,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,90-94,11,1767,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,95+,11,527,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,Insgesamt,12,16340,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,0-29,12,258,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,30-34,12,97,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,35-39,12,152,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,40-44,12,230,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,45-49,12,318,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,50-54,12,365,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,55-59,12,699,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,60-64,12,1165,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,65-69,12,1416,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,70-74,12,1924,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,75-79,12,2437,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,80-84,12,2034,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,85-89,12,3006,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,90-94,12,1706,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,95+,12,533,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,Insgesamt,13,16238,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,0-29,13,242,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,30-34,13,92,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,35-39,13,174,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,40-44,13,214,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,45-49,13,370,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,50-54,13,399,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,55-59,13,725,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,60-64,13,1193,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,65-69,13,1372,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,70-74,13,1909,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,75-79,13,2390,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,80-84,13,2062,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,85-89,13,2871,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,90-94,13,1719,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,95+,13,506,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,Insgesamt,14,15915,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,0-29,14,245,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,30-34,14,90,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,35-39,14,145,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,40-44,14,230,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,45-49,14,346,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,50-54,14,407,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,55-59,14,684,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,60-64,14,1114,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,65-69,14,1397,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,70-74,14,1822,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,75-79,14,2388,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,80-84,14,1945,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,85-89,14,2912,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,90-94,14,1670,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,95+,14,520,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,Insgesamt,15,15997,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,0-29,15,272,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,30-34,15,88,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,35-39,15,137,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,40-44,15,220,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,45-49,15,378,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,50-54,15,416,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,55-59,15,668,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,60-64,15,1180,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,65-69,15,1399,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,70-74,15,1895,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,75-79,15,2422,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,80-84,15,1891,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,85-89,15,2836,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,90-94,15,1691,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,95+,15,504,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,Insgesamt,16,16082,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,0-29,16,247,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,30-34,16,90,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,35-39,16,147,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,40-44,16,231,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,45-49,16,314,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,50-54,16,401,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,55-59,16,739,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,60-64,16,1166,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,65-69,16,1361,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,70-74,16,1862,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,75-79,16,2454,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,80-84,16,2010,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,85-89,16,2876,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,90-94,16,1674,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,95+,16,510,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,Insgesamt,17,15618,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,0-29,17,280,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,30-34,17,105,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,35-39,17,133,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,40-44,17,189,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,45-49,17,313,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,50-54,17,386,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,55-59,17,685,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,60-64,17,1068,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,65-69,17,1352,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,70-74,17,1834,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,75-79,17,2336,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,80-84,17,1904,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,85-89,17,2922,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,90-94,17,1593,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,95+,17,518,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,Insgesamt,18,15142,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,0-29,18,279,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,30-34,18,98,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,35-39,18,168,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,40-44,18,219,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,45-49,18,326,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,50-54,18,393,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,55-59,18,685,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,60-64,18,1069,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,65-69,18,1293,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,70-74,18,1689,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,75-79,18,2347,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,80-84,18,1845,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,85-89,18,2716,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,90-94,18,1556,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,95+,18,459,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,Insgesamt,19,15384,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,0-29,19,251,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,30-34,19,109,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,35-39,19,171,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,40-44,19,228,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,45-49,19,327,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,50-54,19,419,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,55-59,19,655,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,60-64,19,1101,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,65-69,19,1318,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,70-74,19,1834,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,75-79,19,2260,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,80-84,19,1900,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,85-89,19,2754,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,90-94,19,1591,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,95+,19,466,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,Insgesamt,20,15311,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,0-29,20,261,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,30-34,20,100,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,35-39,20,162,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,40-44,20,237,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,45-49,20,363,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,50-54,20,419,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,55-59,20,658,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,60-64,20,1143,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,65-69,20,1343,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,70-74,20,1854,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,75-79,20,2259,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,80-84,20,1788,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,85-89,20,2643,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,90-94,20,1591,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,95+,20,490,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,Insgesamt,21,14670,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,0-29,21,236,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,30-34,21,98,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,35-39,21,134,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,40-44,21,205,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,45-49,21,306,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,50-54,21,372,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,55-59,21,633,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,60-64,21,1099,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,65-69,21,1282,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,70-74,21,1788,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,75-79,21,2220,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,80-84,21,1852,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,85-89,21,2569,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,90-94,21,1442,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,95+,21,434,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,Insgesamt,22,15271,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,0-29,22,275,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,30-34,22,106,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,35-39,22,162,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,40-44,22,259,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,45-49,22,311,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,50-54,22,390,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,55-59,22,711,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,60-64,22,1101,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,65-69,22,1302,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,70-74,22,1786,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,75-79,22,2291,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,80-84,22,1783,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,85-89,22,2751,e
