Statistik,Gebiet,Geschlecht,Jahr,Alter,Kalenderwoche,Sterbefaelle,Qualitaetskennzeichen
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,Insgesamt,1,18266,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,0-29,1,243,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,30-34,1,113,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,35-39,1,159,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,40-44,1,245,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,45-49,1,354,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,50-54,1,426,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,55-59,1,752,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,60-64,1,1246,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,65-69,1,1493,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,70-74,1,2037,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,75-79,1,2771,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,80-84,1,2209,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,85-89,1,3560,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,90-94,1,1993,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,95+,1,665,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,Insgesamt,2,18460,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,0-29,2,243,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,30-34,2,118,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,35-39,2,143,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,40-44,2,250,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,45-49,2,363,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,50-54,2,445,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,55-59,2,807,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,60-64,2,1230,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,65-69,2,1510,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,70-74,2,2147,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,75-79,2,2742,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,80-84,2,2266,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,85-89,2,3506,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,90-94,2,2062,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,95+,2,628,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,Insgesamt,3,19136,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2000,0-29,3,249,e
