Statistik,Gebiet,Geschlecht,Jahr,Alter,Kalenderwoche,Sterbefaelle,Qualitaetskennzeichen
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,45-49,5,184,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,50-54,5,459,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,55-59,5,760,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,60-64,5,1091,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,65-69,5,1471,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,70-74,5,1757,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,75-79,5,2557,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,80-84,5,4325,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,85-89,5,4175,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,90-94,5,3191,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,95+,5,1404,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,6,20946,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,0-29,6,106,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,30-34,6,46,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,35-39,6,65,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,40-44,6,115,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,45-49,6,197,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,50-54,6,419,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,55-59,6,734,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,60-64,6,1110,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,65-69,6,1452,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,70-74,6,1700,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,75-79,6,2459,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,80-84,6,4256,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,85-89,6,4065,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,90-94,6,2941,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,95+,6,1281,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,7,20493,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,0-29,7,114,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,30-34,7,36,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,35-39,7,70,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,40-44,7,118,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,45-49,7,201,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,50-54,7,416,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,55-59,7,753,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,60-64,7,1077,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,65-69,7,1394,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,70-74,7,1722,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,75-79,7,2400,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,80-84,7,4151,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,85-89,7,3824,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,90-94,7,2979,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,95+,7,1238,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,8,18979,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,0-29,8,138,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,30-34,8,43,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,35-39,8,77,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,40-44,8,111,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,45-49,8,175,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,50-54,8,404,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,55-59,8,655,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,60-64,8,1007,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,65-69,8,1340,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,70-74,8,1609,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,75-79,8,2359,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,80-84,8,3817,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,85-89,8,3564,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,90-94,8,2592,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,95+,8,1088,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,9,18455,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,0-29,9,154,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,30-34,9,40,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,35-39,9,94,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,40-44,9,128,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,45-49,9,193,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,50-54,9,383,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,55-59,9,728,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,60-64,9,942,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,65-69,9,1313,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,70-74,9,1583,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,75-79,9,2188,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,80-84,9,3804,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,85-89,9,3384,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,90-94,9,2453,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,95+,9,1068,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,10,18606,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,0-29,10,109,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,30-34,10,66,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,35-39,10,77,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,40-44,10,110,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,45-49,10,179,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,50-54,10,400,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,55-59,10,688,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,60-64,10,1049,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,65-69,10,1324,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,70-74,10,1635,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,75-79,10,2198,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,80-84,10,3655,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,85-89,10,3490,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,90-94,10,2583,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,95+,10,1043,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,11,18374,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,0-29,11,146,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,30-34,11,53,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,35-39,11,80,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,40-44,11,101,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,45-49,11,204,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,50-54,11,371,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,55-59,11,669,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,60-64,11,926,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,65-69,11,1332,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,70-74,11,1632,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,75-79,11,2148,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,80-84,11,3741,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,85-89,11,3336,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,90-94,11,2539,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,95+,11,1096,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,12,18437,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,0-29,12,106,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,30-34,12,53,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,35-39,12,66,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,40-44,12,118,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,45-49,12,192,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,50-54,12,396,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,55-59,12,706,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,60-64,12,1019,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,65-69,12,1336,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,70-74,12,1615,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,75-79,12,2260,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,80-84,12,3512,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,85-89,12,3435,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,90-94,12,2584,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,95+,12,1039,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,13,18520,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,0-29,13,136,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,30-34,13,52,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,35-39,13,80,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,40-44,13,123,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,45-49,13,197,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,50-54,13,415,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,55-59,13,712,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,60-64,13,1017,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,65-69,13,1298,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,70-74,13,1627,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,75-79,13,2292,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,80-84,13,3698,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,85-89,13,3418,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,90-94,13,2451,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,95+,13,1004,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,14,18873,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,0-29,14,128,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,30-34,14,45,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,35-39,14,84,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,40-44,14,117,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,45-49,14,193,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,50-54,14,424,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,55-59,14,745,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,60-64,14,996,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,65-69,14,1409,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,70-74,14,1697,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,75-79,14,2166,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,80-84,14,3771,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,85-89,14,3473,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,90-94,14,2590,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,95+,14,1035,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,15,19098,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,0-29,15,140,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,30-34,15,55,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,35-39,15,71,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,40-44,15,110,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,45-49,15,198,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,50-54,15,405,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,55-59,15,817,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,60-64,15,1039,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,65-69,15,1382,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,70-74,15,1773,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,75-79,15,2304,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,80-84,15,3737,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,85-89,15,3462,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,90-94,15,2545,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,95+,15,1060,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,16,19282,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,0-29,16,154,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,30-34,16,53,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,35-39,16,79,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,40-44,16,129,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,45-49,16,189,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,50-54,16,471,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,55-59,16,758,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,60-64,16,1093,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,65-69,16,1483,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,70-74,16,1750,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,75-79,16,2322,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,80-84,16,3684,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,85-89,16,3495,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,90-94,16,2535,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,95+,16,1087,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,17,19555,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,0-29,17,116,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,30-34,17,57,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,35-39,17,78,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,40-44,17,132,e
